dis_name,dis_symptoms,dis_precaution,kfold,encoded_dis_name
fungal infection, itching  skin rash  nodal skin eruptions  dischromic patches,"['bath twice', 'use detol or neem in bathing water', 'keep infected area dry', 'use clean cloths']",1.0,15
allergy,  continuous sneezing  shivering  chills  watering from eyes,"['apply calamine', 'cover area with bandage', '', 'use ice to compress itching']",3.0,4
gerd,  stomach pain  acidity  ulcers on tongue  vomiting  cough  chest pain,"['avoid fatty spicy food', 'avoid lying down after eating', 'maintain healthy weight', 'exercise']",5.0,17
chronic cholestasis, itching  vomiting  yellowish skin  nausea  loss of appetite  abdominal pain  yellowing of eyes,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",5.0,9
drug reaction, itching  skin rash  stomach pain  burning micturition  spotting urination,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",4.0,14
peptic ulcer diseae,  vomiting  loss of appetite  abdominal pain  passage of gases  internal itching,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",4.0,34
aids,  muscle wasting  patches in throat  high fever  extra marital contacts,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",1.0,2
diabetes,  fatigue  weight loss  restlessness  lethargy  irregular sugar level  blurred and distorted vision  obesity  excessive hunger  increased appetite  polyuria,"['have balanced diet', 'exercise', 'consult doctor', 'follow up']",4.0,12
gastroenteritis,  vomiting  sunken eyes  dehydration  diarrhoea,"['stop eating solid food for while', 'try taking small sips of water', 'rest', 'ease back into eating']",1.0,16
bronchial asthma,  fatigue  cough  high fever  breathlessness  family history  mucoid sputum,"['switch to loose cloothing', 'take deep breaths', 'get away from trigger', 'seek help']",3.0,6
hypertension,  headache  chest pain  dizziness  loss of balance  lack of concentration,"['meditation', 'salt baths', 'reduce stress', 'get proper sleep']",5.0,24
migraine,  acidity  indigestion  headache  blurred and distorted vision  excessive hunger  stiff neck  depression  irritability  visual disturbances,"['meditation', 'reduce stress', 'use poloroid glasses in sun', 'consult doctor']",3.0,31
cervical spondylosis,  back pain  weakness in limbs  neck pain  dizziness  loss of balance,"['use heating pad or cold pack', 'exercise', 'take otc pain reliver', 'consult doctor']",5.0,7
paralysis (brain hemorrhage),  vomiting  headache  weakness of one body side  altered sensorium,"['massage', 'eat healthy', 'exercise', 'consult doctor']",4.0,33
